date,abandoned,connected,disconnected,neverseen,cc
2018-02-24,8,1,2,0,EG
2018-02-23,8,1,2,0,EG
2018-02-22,8,1,2,0,EG
2018-02-21,8,2,1,0,EG
2018-02-20,8,1,2,0,EG
2018-02-19,8,1,2,0,EG
2018-02-18,8,1,2,0,EG
2018-02-17,8,1,2,0,EG
2018-02-16,8,1,2,0,EG
2018-02-15,8,1,2,0,EG
2018-02-14,8,1,2,0,EG
2018-02-13,8,1,2,0,EG
2018-02-12,8,1,2,0,EG
2018-02-11,8,1,2,0,EG
2018-02-10,8,1,2,0,EG
2018-02-09,8,1,2,0,EG
2018-02-08,8,1,2,0,EG
2018-02-07,8,1,2,0,EG
2018-02-06,8,1,2,0,EG
2018-02-05,8,1,2,0,EG
2018-02-04,8,1,2,0,EG
2018-02-03,8,1,2,0,EG
2018-02-02,8,1,2,0,EG
2018-02-01,8,1,2,0,EG
2018-01-31,8,1,2,0,EG
2018-01-30,8,1,2,0,EG
2018-01-29,8,1,2,0,EG
2018-01-28,8,2,1,0,EG
2018-01-27,8,1,2,0,EG
2018-01-26,8,1,2,0,EG
2018-01-25,8,1,2,0,EG
2018-01-24,8,1,2,0,EG
2018-01-23,8,1,2,0,EG
2018-01-22,8,1,2,0,EG
2018-01-21,8,1,2,0,EG
2018-01-20,8,2,1,0,EG
2018-01-19,8,1,2,0,EG
2018-01-18,8,2,1,0,EG
2018-01-17,8,1,2,0,EG
2018-01-16,8,1,2,0,EG
2018-01-15,8,1,2,0,EG
2018-01-14,8,2,1,0,EG
2018-01-13,8,2,1,0,EG
2018-01-12,8,1,2,0,EG
2018-01-11,8,1,2,0,EG
2018-01-10,8,1,2,0,EG
2018-01-09,8,1,2,0,EG
2018-01-08,8,1,2,0,EG
2018-01-07,8,1,2,0,EG
2018-01-06,8,1,2,0,EG
2018-01-05,8,1,2,0,EG
2018-01-04,8,1,2,0,EG
2018-01-03,8,1,2,0,EG
2018-01-02,8,1,2,0,EG
2018-01-01,8,1,2,0,EG
2017-12-31,8,1,2,0,EG
2017-12-30,8,1,2,0,EG
2017-12-29,8,1,2,0,EG
2017-12-28,8,1,2,0,EG
2017-12-27,8,1,2,0,EG
2017-12-26,8,1,2,0,EG
2017-12-25,8,0,3,0,EG
2017-12-24,7,1,3,0,EG
2017-12-23,7,2,2,0,EG
2017-12-22,7,2,2,0,EG
2017-12-21,7,2,2,0,EG
2017-12-20,7,1,3,0,EG
2017-12-19,7,1,3,0,EG
2017-12-18,7,1,3,0,EG
2017-12-17,7,1,3,0,EG
2017-12-16,7,1,3,0,EG
2017-12-15,7,1,3,0,EG
2017-12-14,7,1,3,0,EG
2017-12-13,7,2,2,0,EG
2017-12-12,7,1,3,0,EG
2017-12-11,7,1,3,0,EG
2017-12-10,7,2,2,0,EG
2017-12-09,7,1,3,0,EG
2017-12-08,7,1,3,0,EG
